HomeTeam,AwayTeam,FTR,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HTFormPts,ATFormPts,HTGD,ATGD
Bradford,Man United,NH,W,L,L,L,D,D,W,W,L,D,4,8,-1,1.5
Everton,Tottenham,NH,L,L,L,D,L,L,L,D,D,D,1,3,-0.545454545,-0.272727273
Man City,Leeds,NH,L,D,L,D,W,W,D,L,L,W,5,7,-0.5,0.136363636
Middlesbrough,Derby,H,D,D,W,D,W,W,L,D,W,W,9,10,-0.304347826,-0.52173913
Newcastle,Coventry,H,L,D,W,L,W,D,D,W,D,L,7,6,-0.217391304,-0.695652174
Southampton,Charlton,NH,L,W,W,D,L,W,W,L,W,L,7,9,-0.260869565,-0.217391304
West Ham,Sunderland,NH,L,L,W,L,D,W,D,W,W,L,4,10,0.217391304,0.304347826
Ipswich,Leicester,H,L,W,D,L,W,L,L,L,W,W,7,6,0.304347826,-0.043478261
Chelsea,Ipswich,H,D,W,D,W,L,L,W,D,L,W,8,7,0.47826087,0.304347826
Coventry,Everton,NH,D,D,W,D,L,D,L,L,L,D,6,2,-0.695652174,-0.52173913
Derby,Man City,NH,W,L,D,W,W,D,L,D,L,D,10,3,-0.52173913,-0.47826087
Leeds,Newcastle,NH,L,W,D,L,L,L,D,W,L,W,4,7,0.043478261,-0.217391304
Leicester,Arsenal,NH,L,L,L,W,W,L,D,W,L,D,6,5,-0.043478261,0.695652174
Liverpool,Middlesbrough,NH,D,W,W,L,W,W,D,D,W,D,10,9,0.666666667,-0.125
Man United,Aston Villa,H,W,W,D,W,W,L,L,L,L,L,13,0,1.583333333,-0.083333333
Tottenham,Southampton,NH,D,W,L,L,D,D,L,W,W,D,5,8,-0.166666667,-0.25
Sunderland,Bradford,NH,W,W,D,W,W,D,L,W,L,L,13,4,0.375,-1.041666667
Charlton,West Ham,NH,D,W,W,L,W,D,L,L,W,L,10,4,-0.208333333,0.208333333
Aston Villa,Leeds,NH,L,L,L,L,L,W,L,W,D,L,0,7,-0.083333333,0.083333333
Arsenal,Bradford,H,D,L,D,W,L,D,L,W,L,L,5,4,0.666666667,-1.041666667
Charlton,Derby,H,D,W,W,L,W,L,W,L,D,W,10,7,-0.208333333,-0.666666667
Chelsea,Newcastle,H,W,D,W,D,W,W,L,D,W,L,11,7,0.583333333,-0.125
Everton,Middlesbrough,NH,W,D,L,L,L,W,D,D,W,D,4,9,-0.416666667,-0.125
Leeds,Coventry,H,W,W,L,W,D,L,L,D,D,W,10,5,0.12,-0.8
Man City,Liverpool,NH,D,L,D,L,D,D,D,W,W,L,3,8,-0.6,0.64
Southampton,Leicester,H,D,D,L,W,W,L,D,L,L,L,8,1,-0.24,-0.08
Sunderland,Man United,NH,D,W,W,D,W,W,W,W,D,W,11,13,0.36,1.6
West Ham,Tottenham,NH,D,D,L,L,W,D,D,W,L,L,5,5,0.2,-0.16
